,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,age_batiment,LargestPropertyUseType,PrimaryPropertyType,BuildingType,Ratio_buildingParSurface,Ratio_parkingParSurface,SurfaceParetage,ComplianceStatus,Outlier,is_energyStarImputed,pr_steam,pr_natural,pr_elec
0,7226362.5,249.98,1.0,12,88434,0,88434,60.0,89,Hotel,Hotel,NonResidential,1.0,0.0,6802.61538,Compliant,inconnue,False,0.277301616131214,0.1766383848028659,0.546059929874816
1,8387933.0,295.86,1.0,11,103566,15064,88502,61.0,20,Hotel,Hotel,NonResidential,0.85,14.545,8630.5,Compliant,inconnue,False,0.0,0.6133909271807488,0.38660907281925116
2,72587024.0,2089.28,1.0,41,956110,196718,759392,43.0,47,Hotel,Hotel,NonResidential,0.79,20.575,22764.52381,Compliant,inconnue,False,0.29711307629859574,0.020579435795576907,0.6823074052464253
3,6794584.0,286.43,1.0,10,61320,0,61320,56.0,90,Hotel,Hotel,NonResidential,1.0,0.0,5574.54545,Compliant,inconnue,False,0.32591344076399675,0.2665671658485641,0.40751928300540546
4,14172606.0,505.01,1.0,18,175580,62000,113580,75.0,36,Hotel,Hotel,NonResidential,0.65,35.312,9241.05263,Compliant,inconnue,False,0.0,0.6211982468150177,0.3788016826263286
5,12086616.0,301.81,1.0,2,97288,37198,60090,52.2,17,Other,Other,Nonresidential COS,0.62,38.235,32429.33333,Compliant,inconnue,True,0.0,0.39011597621699906,0.609884023783001
6,5758795.0,176.14,1.0,11,83008,0,83008,27.0,90,Hotel,Hotel,NonResidential,1.0,0.0,6917.33333,Compliant,inconnue,False,0.0,0.5118397164684626,0.4881602835315374
7,6298131.5,221.51,1.0,8,102761,0,102761,50.0,90,Other - Entertainment/Public Assembly,Other,NonResidential,1.0,0.0,11417.88889,Compliant,inconnue,True,0.36142251078752485,0.061159250168085565,0.5774180802671396
8,13723820.0,392.16,1.0,15,163984,0,163984,43.0,112,Hotel,Hotel,NonResidential,1.0,0.0,10249.0,Compliant,inconnue,False,0.0,0.4682296911501317,0.5317702359838588
10,16016644.0,691.26,1.0,11,153163,19279,133884,30.0,47,Hotel,Hotel,NonResidential,0.87,12.587000000000002,12763.58333,Compliant,inconnue,False,0.32698269999632884,0.2866923932379342,0.386324813113159
11,26941110.0,740.97,1.0,25,333176,61161,272015,36.0,18,Hotel,Hotel,NonResidential,0.82,18.357,12814.46154,Compliant,inconnue,False,0.22268423609866111,0.10610921376290731,0.6712065315794338
12,6596057.5,328.23,1.0,9,65009,0,65009,48.0,88,Hotel,Hotel,NonResidential,1.0,0.0,6500.9,Compliant,inconnue,False,0.2511125016724005,0.5452810258248961,0.2036064725027033
13,22325364.0,648.62,1.0,33,315952,57600,258352,58.0,36,Hotel,Hotel,NonResidential,0.82,18.231,9292.70588,Compliant,inconnue,False,0.19429642894064347,0.18290586437918774,0.6227975946999117
14,10750010.0,511.39,1.0,11,92190,25200,66990,35.0,94,Hotel,Hotel,NonResidential,0.73,27.334999999999997,7682.5,Compliant,inconnue,False,0.4531016715333288,0.19039917172170073,0.3564991102333858
15,18588860.0,181.38,1.0,11,412000,57000,355000,80.2,12,Other,Other,Nonresidential COS,0.86,13.835,34333.33333,Compliant,inconnue,True,0.0396775003953981,0.0,0.9603223113197904
16,9956396.0,433.86,1.0,6,103911,0,103911,68.0,86,Other,Other,NonResidential,1.0,0.0,14844.42857,Compliant,inconnue,True,0.4612459669141324,0.09141661299932224,0.44733736986757056
17,33556756.0,802.89,1.0,28,416281,85000,331281,31.0,33,Hotel,Hotel,NonResidential,0.8,20.419,14354.51724,Compliant,inconnue,False,0.0,0.3674811415024742,0.6325187392964922
18,7606084.5,273.02,1.0,5,57452,0,57452,54.4,109,Social/Meeting Hall,Mixed Use Property,NonResidential,1.0,0.0,9575.33333,Compliant,inconnue,True,0.23352381570307298,0.2715051351322747,0.4949709669935957
19,10154608.0,349.32,1.0,10,104352,0,104352,39.0,100,Hotel,Hotel,NonResidential,1.0,0.0,9486.54545,Compliant,inconnue,False,0.33786257431109107,0.08029615717317695,0.5818412685157319
20,44984468.0,1265.29,1.0,10,540360,0,540360,76.0,100,Other,Other,NonResidential,1.0,0.0,49123.63636,Compliant,inconnue,False,0.0,0.45852784120954815,0.5414720698708719
21,47859812.0,1699.45,1.0,19,385274,0,385274,85.2,31,Other,Other,NonResidential,1.0,0.0,19263.7,Compliant,inconnue,True,0.0,0.6185178913782612,0.3814820877273818
23,3663534.5,90.01,1.0,6,88592,30586,58006,84.0,15,Hotel,Hotel,NonResidential,0.65,34.525,12656.0,Compliant,inconnue,False,0.0,0.3814084458601386,0.6185914176596399
24,11343686.0,388.04,1.0,7,126593,0,126593,46.6,88,College/University,University,NonResidential,1.0,0.0,15824.125,Compliant,inconnue,True,0.0,0.590302922700787,0.40969698914444563
25,1310236.625,9.13,1.0,2,67224,0,67224,59.6,86,Other,Other,NonResidential,1.0,0.0,22408.0,Compliant,inconnue,True,0.0,0.0,0.9999995229869261
26,5328051.5,256.57,1.0,8,158676,30301,128375,62.0,25,Hotel,Hotel,NonResidential,0.81,19.096,17630.66667,Compliant,inconnue,True,0.0,0.892586154619564,0.10741393922337275
27,11061916.0,328.63,1.0,10,171866,38281,133585,57.0,15,Hotel,Hotel,NonResidential,0.78,22.274,15624.18182,Compliant,inconnue,False,0.0,0.492790760660269,0.507209239339731
29,4456714.5,128.44,1.0,5,68410,16200,52210,57.0,38,Hotel,Hotel,NonResidential,0.76,23.681,11401.66667,Compliant,inconnue,False,0.0,0.4735248353916321,0.5264750524180986
32,4145920.5,157.77,1.0,3,87262,0,87262,50.8,110,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,21815.5,Compliant,inconnue,True,0.0,0.6736928505985583,0.3263070288009623
33,6668568.5,215.0,1.0,4,81871,0,81871,29.0,22,Hotel,Hotel,NonResidential,1.0,0.0,16374.2,Compliant,inconnue,False,0.0,0.5476691136935911,0.45233081132779845
34,318364.8125,3.93,1.0,2,110356,0,110356,83.6,61,Self-Storage Facility,Self-Storage Facility,NonResidential,1.0,0.0,36785.33333,Compliant,inconnue,True,0.0,0.1165329789704696,0.8834676099765265
36,44731160.0,311.84,3.0,2,714095,0,714095,73.0,55,Non-Refrigerated Warehouse,Warehouse,NonResidential,1.0,0.0,238031.66667,Compliant,inconnue,True,0.0,0.0,0.9999998435095356
39,6186461.5,130.56,1.0,2,94900,0,94900,57.0,55,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,31633.33333,Compliant,inconnue,False,0.0,0.30629399374747585,0.6937059254308784
